LANGUAGE_CODE 英語-美國

MENU_MAIN_LOAD_GAME 載入遊戲
MENU_MAIN_NEW_GAME 新遊戲
MENU_MAIN_CREATE_TERRAIN 創造地型
MENU_MAIN_CHARACTER 角色
MENU_MAIN_OPTIONS 選項
MENU_MAIN_EXIT_GAME 退出遊戲
MENU_MAIN_VERSION 廢材工程師測試版本  
MENU_MAIN_COPYRIGHT © 2020 Axolot Games. 保留所有權利

MENU_INGAME_EXIT 退出
MENU_INGAME_OPTIONS 選項
MENU_INGAME_INVITE_FRIEND 邀請好友
MENU_INGAME_RESUME 繼續遊戲
MENU_INGAME_RESTART 重新開始
MENU_INGAME_RESET 重設
MENU_INGAME_SAVE 存檔
MENU_INGAME_SAVE_AND_TEST 存檔與測試
MENU_INGAME_STOP_TEST 停止測試

MENU_LOAD_SAVED_GAMES 遊戲存檔
MENU_LOAD_LOAD 載入
MENU_LOAD_DELETE 刪除
MENU_LOAD_WORLD_INFO 世界資訊
MENU_LOAD_MODS 模組

MENU_NEW_WORLD_NAME 遊戲名稱
MENU_NEW_TERRAIN 地形
MENU_NEW_FLAT 平地
MENU_NEW_PRIVATE 個人
MENU_NEW_SETTINGS 設定
MENU_NEW_CREATE 建立
MENU_NEW_MODE_CREATIVE 創造
MENU_NEW_MODE_SURVIVAL 生存
MENU_NEW_MODE_CHALLENGE 挑戰
MENU_NEW_SELECT_MODS 選擇模組

MENU_MODS_SELECT_ALL 全選
MENU_MODS_DESELECT_ALL 取消全選

MENU_CREATE_TERRAIN_WORLD_BUILDER 世界產生器
MENU_CREATE_TERRAIN_TILE_BUILDER 標題產生器

ERRMSG_TITLE_ERROR 錯誤
ERRMSG_TITLE_WARNING 警告
ERRMSG_TITLE_CONNECTION_LOST 失去連線
ERRMSG_TITLE_CONNECTION_FAILED 連線失敗
ERRMSG_TITLE_DISCONNECTED_FROM_SERVER 與主機失去連線
ERRMSG_TITLE_FAILED_TO_LOAD_WORLD 載入世界失敗

ERRMSG_VERSION_MISMATCH_LINE1 版本不符
ERRMSG_VERSION_MISMATCH_LINE2 請更新您的客戶端並重試

ERRMSG_CONNECTION_TIMEOUT_LINE1 連線到主機時逾時
ERRMSG_CONNECTION_TIMEOUT_LINE2 請檢查您的網路連線並重試

ERRMSG_KICKED_FROM_SERVER_LINE1 您已被踢出
ERRMSG_KICKED_FROM_SERVER_LINE2 從主機

ERRMSG_SERVER_SHUTDOWN_LINE1 主機關機
ERRMSG_SERVER_SHUTDOWN_LINE2 

ERRMSG_CONNECTION_LOST_LINE1 失去連線
ERRMSG_CONNECTION_LOST_LINE2 請檢查您的網路連線

ERRMSG_UNLOAD_MOD_LINE1 先前使用過的模組已被移除！
